empty empty empty empty empty empty textgrass empty empty empty textbaba textis textp1 empty empty texthug empty empty empty empty textrock textis textblock textand textsink empty empty empty empty empty 
empty empty empty empty empty textwater textis textsink empty empty textkeke textis textp2 empty textflag textis textwin empty empty empty empty empty empty empty empty empty empty empty empty empty 
empty empty empty empty empty empty textslide empty empty empty empty empty empty empty empty textkill empty empty empty empty empty empty empty empty empty empty empty empty empty empty 
empty empty empty empty water water water water water water water water empty empty empty empty empty empty empty water water water water water water water water empty empty empty 
empty empty empty empty water wall wall wall wall wall wall wall grass grass grass grass grass grass grass rock rock rock rock rock rock rock water empty empty empty 
empty empty empty empty water wall baba empty empty empty empty wall grass grass grass grass grass grass grass rock empty empty empty empty empty rock water empty empty empty 
empty empty empty empty water wall empty empty empty empty textpush wall grass grass grass grass grass grass grass rock empty textwall textis textblock empty rock water empty empty empty 
empty empty empty empty water wall empty empty textrock textis empty wall grass grass grass grass grass grass grass rock empty empty empty empty keke rock water empty empty empty 
empty empty empty empty water wall empty empty empty empty empty wall grass grass grass grass grass grass grass rock empty empty empty empty empty rock water empty empty empty 
empty empty empty empty water wall wall wall wall wall wall wall grass grass grass grass grass grass grass rock rock rock rock rock rock rock water empty empty empty 
empty empty empty empty water water water water water water water water empty empty empty flag empty empty empty water water water water water water water water empty empty empty 
empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty 
empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty 
empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty 
empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty 
empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty 
empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty 
empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty 
empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty 
empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty empty 
