lava lava lava lego textbaba textis textp1 grass textkeke textis textp2 grass textlava textis textkill grass textskull textis textblock textand textpush grass textgrass textis textslide grass lego lava lava lava 
lava lava empty lego lego lego lego lego lego lego lego lego lego lego lego lego lego lego lego lego lego lego lego lego lego lego lego empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava baba skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull keke lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass grass skull empty lava lava 
lava lava empty skull grass grass grass grass grass grass lego lego lego lego lego lego lego lego lego lego lego grass grass grass grass grass skull empty lava lava 
lava lava lava skull grass grass grass grass grass grass lego textkeke textand textbaba textis textpush grass textlego textis textblock lego grass grass grass grass grass skull lava lava lava 
